	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
3467	195	SORBS2	-0.721806832087206	-0.961177183224352	0.137386178068244	0.201728021570852	-1.30871888200668	1.30871888200668	-0.100282147330122	0.0037434570940926	0.000103168993574561	0.655502094424849	0.56014073397749	4.4969680083519e-06	4.4969680083519e-06	0.703670834891062
4342	196	MAPK13	-0.260078206111091	1.07742286484688	1.00228294135114	1.16804413048337	1.21458314900583	-1.21458314900583	1.49681195957504	0.310962501177302	5.85367959454311e-07	4.57857013753508e-06	2.47366911547391e-05	4.82630093340345e-06	4.82630093340345e-06	1.93087034304957e-17
8680	196	MLEC	-0.299097010196555	-1.65913012828654	-0.327511100232458	-0.655394425493643	0.102014962671416	-0.102014962671416	-0.170455064672505	0.0779922843862757	5.82860728603438e-34	0.0555318106725235	0.000351804411144955	0.825484233443735	0.825484233443735	0.333476890137609
1690	197	CYTOR	1.48315345276915	1.83394915258536	0.783035496485062	0.968295568608427	0.581999254888287	-0.581999254888287	0.64583083737949	1.93509296955661e-25	9.85136269463601e-34	5.40694776944104e-08	3.85776847103125e-08	0.00192256967248581	0.00192256967248581	1.50150987611328e-06
2002	198	STAT1	0.354888839964298	-1.75055372947268	0.54802741908296	0.888286076096796	-0.0609035122338962	0.0609035122338962	0.991391770591457	0.058312980710854	1.0687710930667e-33	0.00353465900676779	0.000108460982063331	0.940862080227824	0.940862080227824	5.83673660570519e-09
4413	198	HSP90AB1	-1.01185108284368	1.09541999030568	-0.263221120684335	-0.549883926057452	-0.0450650092490951	0.0450650092490951	-0.542184250992415	2.2020281323963e-26	1.41484240618294e-25	0.0169483313267084	2.09596028522589e-06	0.909530198083506	0.909530198083506	1.55067437824905e-08
7001	198	CD44	-0.419019110280234	-0.30725675039685	-1.52981891075954	-1.66352259549083	0.197090257028668	-0.197090257028668	-1.08864901975394	0.0386946928674806	0.15067470367736	1.64325072776964e-19	7.62021579519904e-19	0.664313590551955	0.664313590551955	1.35558314047609e-10
9202	198	HIF1A	-0.235103216218038	0.940147772288821	-1.76695662738634	-1.08835614719228	-0.71971547056649	0.71971547056649	0.722305297620257	0.22241276123254	3.34420503948602e-07	1.79093683113634e-32	1.25205848378283e-09	0.000439161012125402	0.000439161012125402	3.83357317150304e-05
1947	199	ATP5MC3	0.858969563797251	0.620764173627724	0.663187181278896	0.970869252908434	0.0768957182374984	-0.0768957182374984	1.42515571028563	2.15019484449847e-14	6.29615741544955e-08	1.4634628038138e-08	4.69879544924986e-12	0.807911966883118	0.807911966883118	3.03799130313495e-37
5329	199	PDIA4	-1.88607920102883	-1.27726433959904	-0.745005906345013	-1.10052900580254	0.470959628420574	-0.470959628420574	-1.24162650686511	2.64255106493198e-26	1.84884419985249e-11	0.000441146455363435	1.62915504426213e-06	0.235890495579122	0.235890495579122	1.74463229404944e-11
