	mean	total	bio	tech	p.value	FDR
GSN	1.81221367635082	11.4727316023739	1.30934710113734	10.1633845012366	8.98538630475094e-05	0.00231529084330392
PLIN2	3.71954843104315	16.0882958700399	1.30497546795194	14.783320402088	0.0046323741669681	0.0279963495283353
HNRNPAB	6.46904840931751	13.2130794807805	1.2977202369355	11.915359243845	0.000717175856295181	0.00901153847764369
GABPB1-AS1	5.07144599997105	15.8232828477986	1.27824280522354	14.5450400425751	0.00478570131746713	0.0286230930111792
ATP6V0E1	6.15791773667351	13.7453155430309	1.27661169419994	12.4687038488309	0.00133544884860567	0.0131295917350992
LAPTM4A	4.42958459392463	16.2947476556855	1.26952397208067	15.0252236836049	0.00631434383386742	0.0342282056466913
ATP6V0B	5.40316111584156	15.0624659771352	1.2694601764007	13.7930058007345	0.00336993003469963	0.0229732388092562
RDX	6.00011667709097	14.0620898250181	1.2668485798191	12.795241245199	0.00182094662653661	0.0156824868084361
KRT10	6.21426653386977	13.614996019006	1.2588098487557	12.3561861702504	0.00139999245688144	0.0134670873466532
DDIT4	5.06824047115482	15.8088622655021	1.25750396216634	14.5513583033357	0.00539952022297529	0.0307897242953094
FSTL1	4.41885167980469	16.2739503104684	1.25194640642334	15.0220039040451	0.0069256482869011	0.0363617204525957
SLIRP	6.69652110872733	12.8343736179215	1.24069196535153	11.59368165257	0.000861825928959463	0.0100887438787928
LY6K	2.8540845458376	14.6820379987496	1.23884777129871	13.4431902274509	0.00333600549690201	0.022805832396956
NOP53	5.31626765064884	15.2134208556519	1.23639765455476	13.9770232010971	0.00456122257304573	0.027787332049289
H2AFV	5.51269603201534	14.8618663267276	1.23424677291262	13.6276195538149	0.00381943713546649	0.0248857548470839
NAMPT	4.0737448864286	16.2310842205815	1.22993782194921	15.0011463986323	0.00770941895038808	0.0387349861505789
EIF4B	6.31856518669538	13.3884475229636	1.22882450175963	12.159623021204	0.00151004602258253	0.0140109333487721
